SensorID,Temp,Salinity,PH,NH4,DO,CA
S001,5,30,7,2,6,40
S001,5,31,7,3,6,41
S001,5,32,7,2,7,39
S002,15,28,8,3,5,38
S002,15,30,47,2,5,39
S002,15,25,7,2,6,40
S003,30,35,6,1,4,36
S003,30,25,6,1,5,37
S003,30,20,7,2,5,38
S004,25,29,7,3,6,39
S004,25,24,7,3,6,40
S004,20,21,8,4,7,41
S005,22,58,6,2,4,36
S005,12,7744,6,2,5,37
S005,14,55,7,3,5,38
S006,10,99,7,3,6,39
S006,22,65,7,3,6,40
S006,32,99,8,4,7,41
S007,58,87,6,2,5,38
S007,41,57,6,2,5,38
S007,13,36,7,3,6,39
S008,99,854,7,3,6,40
S008,88,855,8,4,7,41
S008,7,899,8,4,7,42
S009,77,87,6,1,4,35
S009,55,258,6,1,4,36
S009,55,22,6,2,5,37
S010,55,20,7,3,6,38
S010,20,35,7,3,6,39
S010,10,35,8,4,7,40
