SensorID,Temp,Salinity,PH,NH4,DO,CA,Timestamp
Sensor-1,12.67,1.24,4.20,61.87,12.03,10.51,2025-06-02 21:44:36
Sensor-2,18.34,1.39,4.61,54.63,11.86,14.24,2025-06-02 21:09:56
Sensor-3,36.68,1.04,9.01,53.12,13.76,12.13,2025-06-03 03:52:45
Sensor-4,36.27,1.80,7.24,45.25,12.29,3.59,2025-06-02 13:13:36
Sensor-5,14.97,1.54,3.37,84.50,11.16,7.93,2025-06-02 11:52:11
Sensor-6,29.73,0.20,6.66,25.99,8.48,8.36,2025-06-03 07:22:34
Sensor-7,23.71,0.32,7.70,31.34,11.53,3.90,2025-06-03 00:12:53
Sensor-8,24.12,0.05,8.36,39.99,6.69,5.40,2025-06-03 01:45:19
Sensor-9,20.06,1.47,8.36,74.09,11.61,9.40,2025-06-02 18:46:27
Sensor-10,24.86,0.39,7.32,1.40,11.80,3.04,2025-06-02 22:13:41
Sensor-11,34.66,0.79,3.33,62.99,5.91,3.07,2025-06-02 22:11:19
Sensor-12,21.98,0.16,7.14,8.51,7.95,9.61,2025-06-02 18:48:33
Sensor-13,30.55,0.89,6.99,90.13,1.10,3.89,2025-06-02 11:43:39
Sensor-14,28.52,0.05,7.83,11.33,9.41,3.57,2025-06-02 18:23:41
Sensor-15,25.02,0.44,8.28,41.13,7.44,6.72,2025-06-02 22:31:42
Sensor-16,27.63,1.94,9.61,58.68,13.55,13.64,2025-06-02 17:45:21
Sensor-17,23.19,0.38,6.90,12.17,11.91,3.92,2025-06-02 21:47:38
Sensor-18,24.62,1.86,9.44,83.92,13.47,5.61,2025-06-02 20:54:27
Sensor-19,10.19,1.38,8.48,67.29,7.06,13.24,2025-06-02 14:20:23
Sensor-20,29.98,0.48,5.87,43.55,9.35,1.58,2025-06-02 11:52:42
Sensor-21,26.59,0.46,7.05,34.84,11.60,5.24,2025-06-03 08:12:31
Sensor-22,30.00,0.45,6.67,10.78,8.02,8.99,2025-06-03 03:50:03
Sensor-23,23.76,0.28,8.37,44.62,5.34,3.09,2025-06-03 04:50:44
Sensor-24,19.05,1.75,3.40,74.64,7.49,4.14,2025-06-02 13:37:47
Sensor-25,11.44,1.03,3.13,48.31,4.17,1.00,2025-06-02 09:35:43
Sensor-26,17.54,1.95,9.47,75.77,14.96,3.58,2025-06-03 00:19:03
Sensor-27,12.65,0.68,8.01,68.13,12.30,9.86,2025-06-03 05:41:46
Sensor-28,29.41,0.45,8.20,73.71,4.33,8.06,2025-06-02 15:57:18
Sensor-29,27.58,0.13,7.12,32.82,6.11,8.49,2025-06-02 12:30:40
Sensor-30,29.71,0.23,7.16,15.24,7.86,6.92,2025-06-02 20:07:37
Sensor-31,26.46,0.24,8.15,29.77,6.35,7.43,2025-06-02 17:12:31
Sensor-32,39.45,1.23,4.81,72.80,6.47,14.33,2025-06-03 06:41:24
Sensor-33,35.98,0.89,5.17,45.23,8.67,8.30,2025-06-02 16:03:35
Sensor-34,21.66,0.14,7.45,17.51,9.95,6.64,2025-06-02 17:50:56
Sensor-35,25.97,1.33,3.09,57.76,14.77,11.56,2025-06-02 14:02:08
Sensor-36,23.43,0.23,8.31,31.60,5.28,7.23,2025-06-03 00:25:52
Sensor-37,25.18,1.91,5.52,79.61,2.88,7.50,2025-06-02 12:39:18
Sensor-38,21.32,0.17,7.72,4.75,6.82,5.21,2025-06-02 13:16:38
Sensor-39,14.83,0.55,5.51,73.50,14.59,4.29,2025-06-03 04:06:25
Sensor-40,31.85,0.74,8.22,87.58,3.88,5.18,2025-06-02 14:12:30
Sensor-41,10.85,1.19,6.82,93.74,1.92,14.76,2025-06-02 16:01:09
Sensor-42,21.76,0.38,8.02,10.75,8.42,8.38,2025-06-02 14:04:18
Sensor-43,31.07,1.33,3.05,52.92,1.17,6.13,2025-06-03 00:04:19
Sensor-44,31.14,1.32,7.17,71.22,12.03,5.76,2025-06-03 00:03:58
Sensor-45,37.57,1.99,7.74,49.54,6.07,12.24,2025-06-03 08:59:21
Sensor-46,10.53,0.76,8.69,76.14,2.18,10.95,2025-06-03 06:30:15
Sensor-47,15.06,1.87,8.70,49.05,6.76,9.67,2025-06-03 03:53:03
Sensor-48,33.21,1.26,6.28,48.98,3.78,4.06,2025-06-03 07:29:38
Sensor-49,17.77,1.25,9.49,71.14,3.22,3.98,2025-06-02 19:44:41
Sensor-50,16.61,1.78,9.08,58.82,4.87,1.30,2025-06-02 14:02:25
Sensor-51,12.79,1.12,3.66,70.78,10.40,8.05,2025-06-03 04:00:53
Sensor-52,19.67,1.37,7.31,81.38,10.13,13.42,2025-06-03 05:42:49
Sensor-53,36.97,0.54,7.90,98.05,5.81,8.88,2025-06-02 11:48:21
Sensor-54,19.13,1.64,5.23,45.55,14.42,6.10,2025-06-03 04:28:33
Sensor-55,29.83,0.12,6.81,49.72,11.15,3.94,2025-06-03 05:38:18
Sensor-56,27.61,0.67,9.41,42.24,13.41,11.29,2025-06-02 11:41:31
Sensor-57,35.17,0.85,5.22,46.55,1.33,6.20,2025-06-02 19:31:43
Sensor-58,37.09,1.11,3.68,77.45,1.47,10.21,2025-06-02 13:09:49
Sensor-59,11.97,1.37,5.50,62.37,3.97,9.45,2025-06-03 04:20:50
Sensor-60,29.08,0.04,7.80,11.22,9.71,9.30,2025-06-03 03:52:03
Sensor-61,27.59,0.30,8.40,18.70,5.33,5.66,2025-06-03 01:47:46
Sensor-62,28.06,0.48,7.61,39.14,7.57,7.63,2025-06-03 06:00:58
Sensor-63,14.58,1.95,7.68,71.84,10.52,11.35,2025-06-02 23:57:21
Sensor-64,20.52,0.41,8.06,10.76,7.20,6.96,2025-06-02 11:17:58
Sensor-65,22.46,0.33,6.92,1.78,9.08,6.98,2025-06-03 05:08:14
Sensor-66,26.24,0.25,6.51,19.03,8.61,5.71,2025-06-03 00:45:01
Sensor-67,23.14,0.27,7.38,31.64,10.97,6.31,2025-06-02 10:11:20
Sensor-68,29.75,0.46,8.08,45.75,5.20,8.97,2025-06-03 00:03:37
Sensor-69,29.87,0.04,7.27,31.38,10.93,4.76,2025-06-03 02:25:12
Sensor-70,27.13,0.31,7.92,6.13,11.78,7.98,2025-06-02 17:06:43
Sensor-71,23.08,0.40,8.11,33.37,9.73,7.97,2025-06-03 01:27:09
Sensor-72,20.80,0.30,8.26,15.73,9.57,7.19,2025-06-02 16:07:26
Sensor-73,27.30,0.29,7.25,34.27,8.26,8.52,2025-06-03 05:38:08
Sensor-74,29.73,0.08,7.54,16.06,11.57,5.49,2025-06-03 04:07:34
Sensor-75,20.63,0.71,7.92,43.21,3.40,6.30,2025-06-02 15:00:13
Sensor-76,31.71,0.40,8.69,81.38,2.85,4.08,2025-06-02 20:04:19
Sensor-77,25.06,0.39,6.72,22.54,10.86,4.11,2025-06-02 21:56:20
Sensor-78,19.61,0.89,3.81,88.68,9.75,10.36,2025-06-03 05:44:41
Sensor-79,21.24,1.48,9.46,86.62,3.33,7.93,2025-06-03 04:45:17
Sensor-80,36.92,0.85,3.39,84.58,4.51,14.82,2025-06-02 19:52:51
Sensor-81,21.38,0.37,7.64,2.17,5.65,5.49,2025-06-03 01:43:02
Sensor-82,28.78,0.74,3.75,52.66,3.09,8.07,2025-06-02 21:19:13
Sensor-83,21.70,0.26,8.34,7.14,10.61,5.18,2025-06-02 13:13:41
Sensor-84,20.39,0.33,7.60,2.40,7.38,8.64,2025-06-02 13:04:57
Sensor-85,23.95,1.76,8.34,83.35,3.83,2.79,2025-06-02 21:18:47
Sensor-86,28.94,0.08,6.59,15.33,10.95,3.83,2025-06-03 05:51:23
Sensor-87,23.82,0.09,7.23,33.30,8.12,8.62,2025-06-03 02:35:07
Sensor-88,20.42,0.37,7.84,45.75,9.24,7.60,2025-06-03 08:52:57
Sensor-89,22.97,1.59,7.23,94.33,14.25,3.78,2025-06-03 05:30:07
Sensor-90,27.09,0.11,7.05,13.82,9.82,6.17,2025-06-02 12:35:17
Sensor-91,26.31,0.43,6.59,46.14,10.52,4.00,2025-06-02 12:33:43
Sensor-92,35.93,1.14,5.11,77.84,6.45,8.41,2025-06-02 19:15:29
Sensor-93,37.29,1.26,4.92,45.37,8.36,14.28,2025-06-02 20:57:49
Sensor-94,29.38,0.21,8.28,6.82,11.66,3.68,2025-06-03 04:39:39
Sensor-95,21.85,0.31,6.51,25.04,10.69,6.88,2025-06-02 18:39:58
Sensor-96,26.82,0.33,7.25,1.09,11.90,8.64,2025-06-02 17:45:54
Sensor-97,29.63,0.29,6.97,47.36,6.21,5.78,2025-06-03 02:33:08
Sensor-98,25.52,0.13,6.92,49.56,6.55,7.92,2025-06-02 15:06:38
Sensor-99,20.78,0.25,8.33,11.24,9.02,8.31,2025-06-02 13:36:34
Sensor-100,35.23,0.60,3.22,55.72,4.81,7.28,2025-06-03 08:23:20
Sensor-1,25.47,1.18,5.77,63.60,9.87,6.24,2025-06-03 01:02:48
Sensor-2,22.08,0.30,8.28,19.73,8.17,8.15,2025-06-03 03:29:09
Sensor-3,24.02,0.26,6.79,27.69,11.42,7.19,2025-06-02 14:02:07
Sensor-4,34.54,1.49,7.75,52.18,1.18,9.46,2025-06-02 09:36:06
Sensor-5,21.47,1.89,3.14,64.27,8.78,1.40,2025-06-02 19:45:24
Sensor-6,25.43,0.23,7.97,43.49,5.29,8.70,2025-06-02 13:42:43
Sensor-7,30.83,1.31,3.50,90.58,9.76,2.80,2025-06-02 15:02:45
Sensor-8,24.34,0.25,7.11,31.39,8.96,8.23,2025-06-02 22:45:34
Sensor-9,20.33,0.06,8.16,34.69,5.82,7.29,2025-06-02 10:53:57
Sensor-10,34.32,1.36,4.13,73.67,8.92,13.67,2025-06-02 15:41:19
Sensor-11,36.31,1.30,5.12,74.72,4.44,9.10,2025-06-02 10:42:35
Sensor-12,13.83,1.69,9.96,42.18,7.97,8.57,2025-06-02 12:17:34
Sensor-13,20.77,0.33,6.52,44.30,5.61,8.64,2025-06-03 00:26:48
Sensor-14,22.88,0.14,6.51,13.32,6.47,9.99,2025-06-02 18:04:43
Sensor-15,26.04,1.90,8.69,98.76,3.66,1.68,2025-06-03 08:31:56
Sensor-16,31.08,0.97,3.68,62.49,0.43,7.52,2025-06-02 21:46:20
Sensor-17,15.38,0.97,4.07,79.46,8.93,6.29,2025-06-03 08:02:47
Sensor-18,26.88,0.41,7.75,45.94,6.77,7.99,2025-06-02 17:49:22
Sensor-19,24.02,0.04,7.99,13.36,5.50,6.68,2025-06-02 14:03:26
Sensor-20,21.24,0.26,6.86,42.61,8.56,9.75,2025-06-03 02:14:31
Sensor-21,29.12,0.20,8.12,36.60,10.67,9.43,2025-06-02 16:54:17
Sensor-22,14.28,1.41,5.62,83.09,6.08,13.67,2025-06-02 17:40:47
Sensor-23,10.20,1.27,7.21,49.41,13.86,3.75,2025-06-03 09:00:52
